id,lead_id,configuration,booking_date,agreement_value,brokerage_amount
7066,1583,3 BHK,2026-03-08,6175000,108062.5
7067,1592,4 BHK,2026-03-09,6550000,131000.0
7068,1601,1 BHK,2026-03-10,6925000,155812.5
7069,1610,2 BHK,2026-03-11,7300000,109500.0
7070,1619,3 BHK,2026-03-12,7675000,134312.5
7071,1628,4 BHK,2026-03-13,8050000,161000.0
7072,1637,1 BHK,2026-03-14,8425000,189562.5
7073,1646,2 BHK,2026-03-15,8800000,132000.0
7074,1655,3 BHK,2026-03-16,9175000,160562.5
7075,1664,4 BHK,2026-03-17,9550000,191000.0
7076,1673,1 BHK,2026-03-18,9925000,223312.5
7077,1682,2 BHK,2026-03-19,10300000,154500.0
7078,1691,3 BHK,2026-03-20,10675000,186812.5
7079,1700,4 BHK,2026-03-21,11050000,221000.0
7080,1709,1 BHK,2026-03-22,11425000,257062.5
7081,1718,2 BHK,2026-03-23,11800000,177000.0
7082,1727,3 BHK,2026-03-24,12175000,213062.5
7083,1736,4 BHK,2026-03-25,12550000,251000.0
7084,1745,1 BHK,2026-03-26,12925000,290812.5
7085,1754,2 BHK,2026-03-27,13300000,199500.0
7086,1763,3 BHK,2026-03-28,13675000,239312.5
7087,1772,4 BHK,2026-03-29,14050000,281000.0
7088,1781,1 BHK,2026-03-30,14425000,324562.5
7089,1790,2 BHK,2026-03-31,14800000,222000.0
7090,1799,3 BHK,2026-04-01,15175000,265562.5
7091,1808,4 BHK,2026-04-02,15550000,311000.0
7092,1817,1 BHK,2026-04-03,15925000,358312.5
7093,1826,2 BHK,2026-04-04,16300000,244500.0
7094,1835,3 BHK,2026-04-05,16675000,291812.5
7095,1844,4 BHK,2026-04-06,17050000,341000.0
7096,1853,1 BHK,2026-04-07,17425000,392062.5
7097,1862,2 BHK,2026-04-08,17800000,267000.0
7098,1871,3 BHK,2026-04-09,18175000,318062.5
7099,1880,4 BHK,2026-04-10,18550000,371000.0
7100,1889,1 BHK,2026-04-11,18925000,425812.5
